,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
105,Riyadh,   حي النفل ,West,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
106,Riyadh,   حي القدس ,South,1000,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,160000
108,Riyadh,   حي الروضة ,West,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
109,Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
110,Riyadh,   حي المونسية ,East,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
111,Riyadh,   حي السليمانية ,North,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
112,Riyadh,   حي السليمانية ,South,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
113,Riyadh,   حي العارض ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
114,Riyadh,   حي الرمال ,Northeast,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
115,Riyadh,   حي الملك فهد ,East,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
116,Riyadh,   حي العزيزية ,South,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
117,Riyadh,   حي حطين ,North,400,0,4,5,3,1,1,1,1,1,1,0,1,1,0,0,1,0,0,400000
118,Riyadh,   حي الواحة ,East,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
119,Riyadh,   حي النرجس ,North,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
120,Riyadh,   حي ظهرة لبن ,East,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
121,Riyadh,   حي النسيم الشرقي ,North,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
122,Riyadh,   حي القادسية ,North,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
123,Riyadh,   حي القادسية ,West,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
124,Riyadh,   حي الروضة ,North,686,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,150000
125,Riyadh,   حي المصيف ,North,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
126,Riyadh,   حي طويق ,Southwest,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
128,Riyadh,   حي العارض ,South,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
129,Riyadh,   حي المونسية ,South,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
130,Riyadh,   حي قرطبة ,North,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
132,Riyadh,   حي الملقا ,South,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
133,Riyadh,   حي النرجس ,East,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
134,Riyadh,   حي الفيحاء ,Four Streets,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
135,Riyadh,   حي المونسية ,North,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
136,Riyadh,   حي الرمال ,East,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
137,Riyadh,   حي الرحمانية ,West,300,2,3,5,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,220000
138,Riyadh,   حي المهدية ,South,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
